name,location,code
건배산,전라남도 진도군 군내면 ,469000101
건봉산,강원도 고성군 거진읍 ,428200301
건의령,강원도 태백시 상사미동 ,421903004
건지산,경기도 용인시 원삼면 ,414600201
건지산,충청남도 공주시 이인면 ,441500201
건지산,충청남도 서천군 기산면 ,447700101
건지산,전라북도 전주시  ,451100301
건지산,경상북도 안동시 도산면 ,471700201
건흥산,경상남도 거창군  ,488800401
걸쇠오름,제주도 제주시  ,491101803
검단리고개,경기도 남양주시  ,413603404
검단산,경기도 하남시 천현동 ,414500201
검단산,경기도 광주시 중부면 ,416100201
검단산,경상남도 함안군  ,487300201
검덕산,전라남도 영광군  ,468702001
검마산,경상북도 영양군  ,477600101
검무봉,경상남도 산청군 단성면 ,488600701
검봉산,강원도 춘천시  ,421100201
검봉산,강원도 삼척시 임원출장소 ,422300401
검암산,경기도 남양주시  ,413603301
검은덕이오름,제주도 제주시  ,491100604
검은들먹오름,제주도 제주시  ,491101403
검은오름,제주도 제주시  ,491103104
것대산,충청북도 청주시  ,431105201
견두산,전라북도 남원시 수지면 ,451900101
견두산,전라남도 구례군 산동면 ,467300201
견불리산,강원도 양양군 현남면 ,428305501
견준산,충청남도 공주시  ,441504501
경각산,전라북도 완주군 구이면 ,457100101
경마산,경상북도 칠곡군  ,478500301
경수산,경기도 안성시 고삼면 ,415500101
경신산,인천광역시 남동구  ,282001401
경옥봉,전라북도 완주군  ,457104101
경운산,경상남도 김해시 북부동 ,482500201
경천대,경상북도 상주시 사벌면 ,472505004
경포대시루봉,강원도 강릉시 난곡동 ,421507301
계룡산,경상남도 거제시 신현읍 ,483100401
계명산,충청북도 충주시 목행동 ,431300101
계명산,경상북도 안동시  ,471700401
계방산,강원도 홍천군 내면 ,427206801
계봉,강원도 정선군 정선읍 ,427709401
계봉산,충청남도 청양군 정산면 ,447900101
계양산,인천광역시 서구 연희동 ,282600201
계족산,대전광역시 대덕구 회덕1동 ,302300101
계족산,강원도 영월군 영월읍 ,427500201
계족산,전라남도 순천시  ,461504201
계족산,전라남도 구례군 문척면 ,467300301
계족산성,대전광역시 동구  ,301102304
계화산,전라북도 부안군 계화면 ,458000201
고근산,제주도 서귀포시 대륜동 ,491300101
고내봉,제주도 제주시 애월읍 ,491100101
고덕산,전라북도 전주시  ,451100501
고덕산,전라북도 임실군 관촌면 ,457500201
고동산,경기도 가평군  ,418200601
고동산,전라남도 순천시  ,461503901
고동산,전라남도 순천시  ,461504301
고락산,전라남도 여수시 화정면 ,461300201
고래산,경기도 남양주시 화도읍 ,413600301
고래산,경기도 양평군 지제면 ,418300501
고려산,인천광역시 강화군  ,287100101
고려산,충청남도 천안시  ,441303801
고려산,충청남도 연기군 소정면 ,447300101
고루포기산,강원도 강릉시 왕산면 ,421500201
고리봉,전라북도 남원시 대강면 ,451900401
고모치,충청북도 괴산군  ,437603404
고백이산,전라남도 고흥군  ,467703001
고봉리산,전라북도 군산시 대야면 ,451304601
고봉산,대전광역시 동구 대청동 ,301100301
고봉산,경기도 고양시일산동구 고봉동 ,412800101
고봉산,전라북도 군산시 개정면 ,451300401
고봉산,전라남도 장성군  ,468800301
고부랑고개,충청북도 청주시상당구  ,431105104
고불봉,경상북도 영덕군 영덕읍 ,477704001
고비산,전라남도 담양군 금성면 ,467100201
고사리,강원도 인제군  ,428107204
고산,대구광역시 수성구 고산3동 ,272600101
고산,대구광역시 수성구  ,272601501
고산,전라북도 고창군 성송면 ,457900201
고산봉,전라남도 함평군 대동면 ,468600101
고성산,경기도 안성시 양성면 ,415500201
고성산,경기도 안성시 양성면 ,415503101
고성산,강원도 삼척시 남양동 ,422300501
고성산,강원도 고성군 현내면 ,428200401
고성산,전라남도 장성군 삼계면 ,468800401
고수치,제주도 서귀포시  ,491301204
고양산,강원도 홍천군 서석면 ,427200301
고양산,강원도 정선군 임계면 ,427700801
고은산,서울특별시 서대문구  ,114100501
고이오름,제주도 서귀포시  ,491301304
고인돌,전라북도 고창군  ,457902704
고인돌둘레길,전라북도 고창군  ,457900103
고장산,충청남도 연기군  ,447302201
고적대,강원도 정선군 임계면 ,427708804
고창읍성,전라북도 고창군  ,457902904
고청봉,충청남도 공주시 반포면 ,441500401
고초봉,경기도 화성시 남양면 ,415900201
고토재산,강원도 정선군 사북읍 ,427709501
고하도,전라남도 목포시  ,461101304
고헌산,울산광역시 울주군 두서면 ,317100501
곡달산,경기도 가평군 설악면 ,418200701
곤방산,전라남도 곡성군 오곡면 ,467202601
곤봉산,전라남도 함평군  ,468601401
곤지산,경상북도 의성군 안계면 ,477300301
곤천산,충청북도 영동군 상촌면 ,437400401
골무산,경상남도 함양군 수동면 ,488700201
골체오름,제주도 제주시  ,491103204
곰배령,강원도 인제군 기린면 ,428105404
곰봉,강원도 영월군  ,427500301
곰봉,전라남도 영암군  ,468302201
공개바위,경상남도 산청군 금서면 ,488606304
공덕산,부산광역시 기장군  ,267101801
공덕산,경상북도 문경시 산북면 ,472800201
공산성,충청남도 공주시  ,441504604
공원산,전라남도 장성군  ,468800501
공작산,강원도 홍천군 화촌면 ,427200401
공주향교뒷산,충청남도 공주시  ,441504704
과녁바위산,전라남도 담양군  ,467102101
과오름,제주도 제주시  ,491100704
관대리,강원도 인제군  ,428107304
관람산,전라남도 영광군  ,468702501
관모산,인천광역시 남동구 장수동 ,282000301
관모산,강원도 양양군 강현면 ,428300401
관모산,충청남도 예산군 예산읍 ,448102201
관산,경상북도 경주시 서면 ,471300501
관심산,강원도 횡성군 공근면 ,427300201
관악산,서울특별시 관악구 신림제9동 ,116200201
관악산446봉기점,서울특별시 관악구  ,116200604
관악산삼봉약수터,서울특별시 관악구  ,116200704
관악산장군봉기점,서울특별시 관악구  ,116200804
관악산학바위능선,서울특별시 관악구  ,116200904
관주산,전라남도 보성군 보성읍 ,467800201
관호산,경상북도 칠곡군 기산면 ,478503701
광교산,경기도 수원시장안구 연무동 ,411170201
광대봉,전라남도 완도군 보길면 ,468900201
광대산,강원도 정선군 화암면 ,427709601
광덕산,경기도 안산시 월피동 ,412700101
광덕산,경기도 포천시 포천시 ,416500801
광덕산,충청남도 천안시 동면 ,441300301
광덕산,충청남도 공주시 신풍면 ,441500601
광덕산,충청남도 아산시 송악면 ,442000401
광려산,경상남도 마산시 진북면 ,481500301
광월산,전라북도 군산시  ,451300701
광제봉,경상남도 진주시 명석면 ,481700201
광진리,강원도 양양군 현남면 ,428305604
광진산,강원도 삼척시  ,422309001
괘관산,경상남도 함양군 서하면 ,488700301
괘장산,강원도 강릉시 강동면 ,421500401
괴병산,강원도 강릉시 왕산면 ,421507401
